ticker,headline,summary,source,date,label_text,label,true_label,headline_clean,vader_model,vader_label,vader_compound_score,vader_score_positive,vader_score_negative,vader_score_neutral
AAPL,Xi Jinping tells CEOs that 'China's door will only open wider' as Trump's two-day visit gets underway,Chinese President Xi Jinping warmly welcomed a delegation of US CEOs on Thursday during the first day of President Trump's visit to the country.,Yahoo Finance,2026-05-14,,,,Xi Jinping tells CEOs that 'China's door will only open wider' as Trump's two-day visit gets underway,VADER,neutral,0.0,0.0,0.0,1.0
AAPL,Apple And OpenAI Rift Puts AI Partnerships And Investor Focus In Spotlight,"Apple’s partnership with OpenAI has reportedly become strained, with OpenAI preparing potential legal action. The dispute centers on alleged shortfalls in Apple’s delivery of commercial and integration commitments under a multi year agreement. The tension is emerging as Apple expands its AI offerings and opens its ecosystem to additional third party AI providers. For investors following Apple, NasdaqGS:AAPL, the dispute lands at a time when the stock is trading around $298.21 and has...",Simply Wall St.,2026-05-15,,,,Apple And OpenAI Rift Puts AI Partnerships And Investor Focus In Spotlight,VADER,neutral,0.0,0.0,0.0,1.0
AAPL,"The ""Magnificent Seven"" Has Gained $4.8 Trillion Since the Start of April. Here's Why That's a Risk to the S&P 500 and Nasdaq-100.",Market concentration can amplify gains but also compound declines during a stock market sell-off.,Motley Fool,2026-05-15,,,,"The ""Magnificent Seven"" Has Gained $4.8 Trillion Since the Start of April. Here's Why That's a Risk to the SP 500 and Nasdaq-100.",VADER,positive,0.6597,0.236,0.076,0.688
AAPL,"Why are so many U.S. CEOs in China with Trump, and what do they want?",More than a dozen American CEOs are accompanying President Trump on his trip to China. That's not unusual.,CBS News,2026-05-15,,,,"Why are so many U.S. CEOs in China with Trump, and what do they want?",VADER,positive,0.0772,0.085,0.0,0.915
AAPL,"1 Unstoppable Stock to Buy Before It Joins Nvidia, Alphabet, and Apple in the $4 Trillion Club",Artificial intelligence could be Amazon's ticket into the ultra-exclusive $4 trillion club.,Motley Fool,2026-05-14,,,,"1 Unstoppable Stock to Buy Before It Joins Nvidia, Alphabet, and Apple in the $4 Trillion Club",VADER,negative,-0.2023,0.0,0.107,0.893
AAPL,BuzzHPC targets $200M in AI revenue while Big Tech is still burning cash,"While the biggest names in tech are burning billions to build AI infrastructure, BuzzHPC is already running close to 80% EBITDA margins and generating real revenue. Craig Tavares, President and COO of BuzzHPC — a subsidiary of Hive Digital Technologies — joined TheStreet Roundtable to lay out a ...",TheStreet,2026-05-14,,,,BuzzHPC targets $200M in AI revenue while Big Tech is still burning cash,VADER,neutral,0.0,0.0,0.0,1.0
AAPL,"Wall Street Hearts AI, as Blockbuster IPO Shows","The strong reception comes after enthusiasm for AI companies and chip hardware helped the S&P 500 and the tech-laden Nasdaq composite rebound quickly from Iran war concerns and soar to new records.  At the other end of the spectrum, Honda reported its first annual loss as a listed company—equivalent to $2.7 billion.  2. Security researchers say they have discovered a new way of circumventing Apple’s state-of-the-art security technology.",The Wall Street Journal,2026-05-14,,,,"Wall Street Hearts AI, as Blockbuster IPO Shows",VADER,positive,0.5994,0.358,0.0,0.642
AAPL,"Tech Gains Lift Nasdaq, S&P 500 to New Highs","The Nasdaq Composite and the S&P 500 hit new peaks on Thursday, buoyed again by gains in the technol",MT Newswires,2026-05-14,,,,"Tech Gains Lift Nasdaq, SP 500 to New Highs",VADER,positive,0.34,0.231,0.0,0.769
AAPL,OpenAI prepares legal action against Apple over ChatGPT deal,The AI company enlisted an outside law firm after the partnership failed to generate expected subscribers or prominence within Apple's ecosystem,Quartz,2026-05-14,,,,OpenAI prepares legal action against Apple over ChatGPT deal,VADER,positive,0.128,0.158,0.0,0.842
AAPL,Fortress Private Ledger Buys $2.8 Million Worth of FEGE -- a Global Equity ETF Outpacing the S&P 500,"This actively managed ETF invests across U.S. and global equities, with a one-year price gain outpacing the S&P 500.",Motley Fool,2026-05-14,,,,Fortress Private Ledger Buys $2.8 Million Worth of FEGE -- a Global Equity ETF Outpacing the SP 500,VADER,positive,0.2263,0.106,0.0,0.894
